date,cdcweek,sitespecific,site,subsample,species,trapcount,ddm14,pt14,rha14,ttmax,ttmin,windspd
2021-08-10,33,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,11.41,27.6,61,25.7,10.6,14.5
2021-08-16,34,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,46,10.44,27.6,60,36.8,14,10.3
2021-08-17,34,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,5,10.59,27.6,60,27.3,14.8,18.1
2021-08-23,35,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,6,9.76,121.2,68,20.6,12.6,17.7
2021-08-24,35,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,2,9.16,93.6,68,19.1,10.6,15.4
2021-08-30,36,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,7.27,97.7,78,28.1,7.2,10.5
2021-05-24,22,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,3.3,17.6,56,24.2,10.5,31.5
2021-05-29,22,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,3.81,20.8,61,23.7,10.7,24.6
2021-05-30,23,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,3.47,20.8,60,16.9,2.2,17.2
2021-05-31,23,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,3.3,20.8,61,25.9,-0.7,8.5
2021-06-01,23,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,3.58,20.8,61,29,7.4,16.9
2021-06-07,24,Outback-BDN,Brandon,FALSE,Cx. tarsalis,2,3.56,4.6,50,24,5.2,11.3
2021-06-08,24,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,4.6,4.6,50,29.7,10.3,19.4
2021-06-09,24,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,5.16,1.4,48,22.4,14.8,18
2021-06-14,25,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,7.21,92.3,58,27.8,9.1,11.1
2021-06-15,25,Outback-BDN,Brandon,FALSE,Cx. tarsalis,9,7.29,92.3,59,28,10.7,14.3
2021-06-21,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,4,8.26,91.2,67,18,1.4,16.4
2021-06-22,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,14,7.64,91.2,67,26.1,7.5,13.4
2021-06-23,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,14,7.36,91.2,68,25.9,11.2,18.3
2021-06-23,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,7.36,91.2,68,25.9,11.2,18.3
2021-06-24,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,7.04,81.5,66,23.9,8,13.8
2021-06-24,26,Outback-BDN,Brandon,TRUE,Cx. tarsalis,8,7.04,81.5,66,23.9,8,13.8
2021-06-25,26,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,6.81,68,64,25.5,12.3,15.6
2021-06-26,26,Outback-BDN,Brandon,TRUE,Cx. tarsalis,12,6.81,0.3,63,24.9,11.4,13.5
2021-06-27,27,Outback-BDN,Brandon,TRUE,Cx. tarsalis,24,6.74,0.7,64,22.1,11.2,7.8
2021-06-28,27,Outback-BDN,Brandon,TRUE,Cx. tarsalis,12,6.95,10.3,65,25.2,10.2,10.5
2021-07-05,28,Outback-BDN,Brandon,FALSE,Cx. tarsalis,7,7.97,10,68,25.5,12.6,16.9
2021-07-06,28,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,8.63,10.3,69,15.4,6.2,16.1
2021-07-13,29,Outback-BDN,Brandon,FALSE,Cx. tarsalis,91,9.45,1.7,70,27,10.6,10.5
2021-07-14,29,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,9.79,1.7,70,26.2,13.8,10.5
2021-07-19,30,Outback-BDN,Brandon,FALSE,Cx. tarsalis,19,9.57,21.3,72,22.6,16.9,19.7
2021-07-20,30,Outback-BDN,Brandon,FALSE,Cx. tarsalis,17,9.46,21,73,21,16.6,17.7
2021-07-26,31,Outback-BDN,Brandon,FALSE,Cx. tarsalis,101,11.61,29.2,76,27.1,12.3,10
2021-07-27,31,Outback-BDN,Brandon,FALSE,Cx. tarsalis,104,11.33,27.8,75,30.2,10.8,11
2021-07-30,31,Outback-BDN,Brandon,FALSE,Cx. tarsalis,421,11.2,19.2,74,30.6,12.4,14.5
2021-08-03,32,Outback-BDN,Brandon,FALSE,Cx. tarsalis,17,10.58,8.5,72,30.4,11.6,10
2021-08-04,32,Outback-BDN,Brandon,FALSE,Cx. tarsalis,177,10.02,6.4,70,29.6,17.8,18.4
2021-08-05,32,Outback-BDN,Brandon,FALSE,Cx. tarsalis,76,10.01,0.3,69,24.5,10.6,13.8
2021-08-09,33,Outback-BDN,Brandon,FALSE,Cx. tarsalis,56,9.54,0.3,67,18.5,14.9,13.1
2021-08-10,33,Outback-BDN,Brandon,FALSE,Cx. tarsalis,9,9.69,51.6,69,24.6,11.8,19.3
2021-08-15,34,Outback-BDN,Brandon,FALSE,Cx. tarsalis,49,9.23,51.3,70,35.5,10.6,11.8
2021-08-16,34,Outback-BDN,Brandon,FALSE,Cx. tarsalis,50,8.76,51.3,69,33.5,15,12.4
2021-08-17,34,Outback-BDN,Brandon,FALSE,Cx. tarsalis,8,8.82,51.3,68,25.6,15.1,19.1
2021-08-23,35,Outback-BDN,Brandon,FALSE,Cx. tarsalis,2,8.5,140.5,75,19.1,11,19.8
2021-08-25,35,Outback-BDN,Brandon,FALSE,Cx. tarsalis,3,7.12,101.6,75,17.4,5.7,8.3
2021-08-30,36,Outback-BDN,Brandon,FALSE,Cx. tarsalis,1,5.83,110.6,82,24.7,5.1,10.4
2021-08-31,36,Outback-BDN,Brandon,FALSE,Cx. tarsalis,0,5.59,110.6,83,26.4,10.4,17.8
2021-05-31,23,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,3.39,32.7,63,25.3,0.5,8.5
2021-06-01,23,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,3.67,32.7,64,28.9,7.7,13.9
2021-06-07,24,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,4.74,4.3,50,23.8,7.1,9.4
2021-06-08,24,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,5.81,4.1,50,29.9,10.6,15.7
2021-06-15,25,Carberry 4,Carberry,FALSE,Cx. tarsalis,9,8.82,61.7,60,28.9,10.8,12.1
2021-06-16,25,Carberry 4,Carberry,FALSE,Cx. tarsalis,11,9.41,60.8,61,31.8,15.2,22.4
2021-06-21,26,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,9.14,59,66,18.3,2.7,15
2021-06-28,27,Carberry 4,Carberry,FALSE,Cx. tarsalis,6,7.84,13.2,62,24.3,12.3,9.4
2021-07-05,28,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,8.66,13.9,64,24,13.1,13.4
2021-07-06,28,Carberry 4,Carberry,FALSE,Cx. tarsalis,5,9.39,13.9,66,15.4,7.1,12.5
2021-07-12,29,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,9.76,0.7,67,27.7,13.8,15.3
2021-07-13,29,Carberry 4,Carberry,FALSE,Cx. tarsalis,3,10.09,0.7,66,26.8,11.2,8
2021-07-19,30,Carberry 4,Carberry,FALSE,Cx. tarsalis,14,10.31,7.2,70,22.1,16.5,13.9
2021-07-20,30,Carberry 4,Carberry,FALSE,Cx. tarsalis,23,10.13,7.2,71,21,16.5,12.4
2021-07-26,31,Carberry 4,Carberry,FALSE,Cx. tarsalis,58,12.21,10.9,75,27.1,12.9,8.5
2021-07-27,31,Carberry 4,Carberry,FALSE,Cx. tarsalis,91,11.9,10.9,76,31.5,9.7,8.5
2021-08-03,32,Carberry 4,Carberry,FALSE,Cx. tarsalis,47,11.12,4.1,70,33.1,13.6,9.4
2021-08-04,32,Carberry 4,Carberry,FALSE,Cx. tarsalis,23,10.43,1.9,67,30.2,18.9,13.2
2021-08-09,33,Carberry 4,Carberry,FALSE,Cx. tarsalis,4,10.21,0.6,64,20.4,16.6,12
2021-08-10,33,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,10.31,22.9,66,23.6,12.7,17.5
2021-08-16,34,Carberry 4,Carberry,FALSE,Cx. tarsalis,26,9.21,25.5,67,34.3,12.9,9.7
2021-08-17,34,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,9.34,25.7,67,26.1,14.5,16.1
2021-08-23,35,Carberry 4,Carberry,FALSE,Cx. tarsalis,3,8.55,100.5,75,18.7,11.9,16.8
2021-08-24,35,Carberry 4,Carberry,FALSE,Cx. tarsalis,0,8.16,78.2,74,15.9,9.1,12.6
2021-08-30,36,Carberry 4,Carberry,FALSE,Cx. tarsalis,1,5.85,86.4,85,24.4,6.1,5.5
2021-05-31,23,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,1,3.67,64.6,60,25.2,1.9,8.5
2021-06-01,23,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,3.95,64.6,61,28.2,10.2,14.9
2021-06-07,24,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,2,5.04,13.1,48,NA,NA,9.2
2021-06-08,24,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,6.09,11.4,48,28.2,11,11.6
2021-06-14,25,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,8.21,27.5,56,26.8,10.9,8
2021-06-15,25,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,2,8.35,27.5,57,28.8,9.1,11.9
2021-06-16,25,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,0,8.86,27.5,59,32.5,14.9,23.5
2021-06-21,26,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,0,8.48,19.9,65,18.2,5.5,14.6
2021-06-28,27,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,24,8.16,16,61,24.3,13.5,11
2021-06-29,27,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,0,8.12,16,62,28.6,11.9,10.3
2021-07-05,28,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,0,8.72,13.3,63,25.6,13.3,11.6
2021-07-06,28,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,9.31,13.3,65,15,7,13.6
2021-07-12,29,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,14,9.58,0,67,28.7,13.7,16.7
2021-07-14,29,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,10.44,0.6,66,25.3,14.7,6.9
2021-07-19,30,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,1,10.29,0.6,69,24.3,16.6,11.5
2021-07-20,30,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,10,10.22,0.6,70,23.2,16.4,9.5
2021-07-27,31,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,262,12.09,5.1,72,30.9,9.2,9.9
2021-08-03,32,Cypress River 1,Cypress River,TRUE,Cx. tarsalis,1376,11.34,4.5,66,32.5,12.3,18.5
2021-08-09,33,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,76,10.17,0,65,21.7,16.8,9.5
2021-08-10,33,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,10.23,27,65,25.7,13.2,7
2021-08-16,34,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,50,9.22,28,68,35.6,16.4,16.4
2021-08-17,34,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,9,9.45,28,68,26.6,13.6,13.8
2021-08-23,35,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,9.64,78.6,73,20.2,11.8,10.5
2021-08-24,35,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,9.28,51.6,73,15.9,10.8,16.1
2021-08-30,36,Cypress River 1,Cypress River,FALSE,Cx. tarsalis,0,6.96,56.9,70,25.4,6.9,12.5
2021-05-31,23,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,3.11,26.4,65,24.6,1.2,8.8
2021-06-01,23,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,3.4,26.4,65,27.9,7.6,17.8
2021-06-07,24,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,4.96,7.3,50,27.6,7.5,13.3
2021-06-08,24,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,6.08,7.3,49,27.8,14.2,20.6
2021-06-14,25,Killarney 213,Killarney,FALSE,Cx. tarsalis,6,9.24,86.1,56,26.8,9.3,10.2
2021-06-15,25,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,9.41,86.1,57,28,9.3,16.2
2021-06-21,26,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,9.15,80.6,64,17.3,5.3,14.3
2021-06-28,27,Killarney 213,Killarney,FALSE,Cx. tarsalis,12,7.06,7.4,63,23.1,12.5,13.5
2021-07-05,28,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,7.54,8.1,67,25.5,12.5,12.8
2021-07-06,28,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,8.11,8.1,68,14.6,9.1,13.8
2021-07-12,29,Killarney 213,Killarney,FALSE,Cx. tarsalis,4,8.9,1.4,69,27.9,15.3,17.1
2021-07-13,29,Killarney 213,Killarney,FALSE,Cx. tarsalis,28,9.21,1.4,68,27.7,9.6,10
2021-07-19,30,Killarney 213,Killarney,FALSE,Cx. tarsalis,1,9.59,6.6,71,25.1,16.6,13.6
2021-07-20,30,Killarney 213,Killarney,FALSE,Cx. tarsalis,1,9.54,11.3,72,23.7,17,14.4
2021-07-27,31,Killarney 213,Killarney,FALSE,Cx. tarsalis,2,11.6,11.9,73,29.4,12.5,13.6
2021-08-03,32,Killarney 213,Killarney,FALSE,Cx. tarsalis,2,11.21,0.6,68,30.9,12,8.7
2021-08-04,32,Killarney 213,Killarney,FALSE,Cx. tarsalis,2,10.61,0.6,66,26.9,15.3,14.5
2021-08-09,33,Killarney 213,Killarney,FALSE,Cx. tarsalis,5,9.46,0.5,65,22.5,16.7,14.7
2021-08-10,33,Killarney 213,Killarney,FALSE,Cx. tarsalis,0,9.58,9.3,68,22.2,11.7,18.3
2021-05-31,23,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,2.85,17.3,63,24.4,-0.9,9
2021-06-01,23,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,2.92,17.5,63,26.7,10.4,15.9
2021-06-07,24,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,3.91,4.8,52,21.1,5,9.3
2021-06-08,24,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,4.82,5.4,52,28.6,11.7,13.8
2021-06-14,25,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,6.96,89.7,59,27.1,8.5,6.6
2021-06-15,25,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,2,7.18,89.5,60,27.1,10.7,17
2021-06-21,26,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,7.28,88.4,66,18,3.7,14.8
2021-06-22,26,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,6.81,86.7,65,26.9,7.7,13.4
2021-06-28,27,Shoal Lake 1,Shoal Lake,TRUE,Cx. tarsalis,0,6.59,6.8,61,24.7,9.7,6.4
2021-07-05,28,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,8.14,6.1,62,23.3,12.4,14.5
2021-07-06,28,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,8.76,6.1,64,14.5,7.1,11.7
2021-07-13,29,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,27,9.35,2.1,66,26,10.5,8.6
2021-07-19,30,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,63,9.24,5.9,71,22.4,16.5,19.4
2021-07-20,30,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,51,9.09,5.9,72,21.3,16.2,13.3
2021-07-26,31,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,11.11,24.8,75,25.4,11.2,0.6
2021-07-27,31,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,182,10.86,23,75,28.4,10.9,8.8
2021-08-03,32,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,90,9.91,18.9,70,31.5,14.3,4.1
2021-08-04,32,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,78,9.39,6.9,68,25.6,16.8,15.3
2021-08-09,33,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,9,9.16,1.4,67,19.7,15.1,10.7
2021-08-10,33,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,9.32,9.3,68,22.2,11.7,18.3
2021-08-16,34,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,27,8.24,12.3,68,NA,NA,10.2
2021-08-17,34,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,5,8.41,12.3,67,25.5,15.1,14.3
2021-08-23,35,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,6.7,100.2,75,17.5,10.3,17.6
2021-08-24,35,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,6.16,92.3,75,14.8,7.4,14.2
2021-08-30,36,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,3.85,110.8,83,24.2,5.7,9.6
2021-08-31,36,Shoal Lake 1,Shoal Lake,FALSE,Cx. tarsalis,0,3.62,110.8,83,25,11.6,19.6
2021-05-31,23,Souris 4,Souris,FALSE,Cx. tarsalis,0,3.3,20.8,61,25.9,-0.7,8.5
2021-06-01,23,Souris 4,Souris,FALSE,Cx. tarsalis,0,3.58,20.8,61,29,7.4,16.9
2021-06-07,24,Souris 4,Souris,FALSE,Cx. tarsalis,0,3.56,4.6,50,24,5.2,11.3
2021-06-08,24,Souris 4,Souris,FALSE,Cx. tarsalis,1,4.6,4.6,50,29.7,10.3,19.4
2021-06-14,25,Souris 4,Souris,FALSE,Cx. tarsalis,2,7.21,92.3,58,27.8,9.1,11.1
2021-06-15,25,Souris 4,Souris,FALSE,Cx. tarsalis,1,7.29,92.3,59,28,10.7,14.3
2021-06-21,26,Souris 4,Souris,FALSE,Cx. tarsalis,1,8.26,91.2,67,18,1.4,16.4
2021-06-22,26,Souris 4,Souris,FALSE,Cx. tarsalis,1,7.64,91.2,67,26.1,7.5,13.4
2021-06-28,27,Souris 4,Souris,TRUE,Cx. tarsalis,8,6.95,10.3,65,25.2,10.2,10.5
2021-06-29,27,Souris 4,Souris,TRUE,Cx. tarsalis,8,6.94,10.3,66,28.2,11.8,11.6
2021-07-05,28,Souris 4,Souris,FALSE,Cx. tarsalis,4,7.97,10,68,25.5,12.6,16.9
2021-07-06,28,Souris 4,Souris,FALSE,Cx. tarsalis,0,8.63,10.3,69,15.4,6.2,16.1
2021-07-12,29,Souris 4,Souris,FALSE,Cx. tarsalis,1,9.15,0.3,70,27.6,12.9,16.1
2021-07-13,29,Souris 4,Souris,FALSE,Cx. tarsalis,18,9.45,1.7,70,27,10.6,10.5
2021-07-19,30,Souris 4,Souris,FALSE,Cx. tarsalis,32,9.57,21.3,72,22.6,16.9,19.7
2021-07-20,30,Souris 4,Souris,FALSE,Cx. tarsalis,25,9.46,21,73,21,16.6,17.7
2021-07-26,31,Souris 4,Souris,FALSE,Cx. tarsalis,32,11.61,29.2,76,27.1,12.3,10
2021-07-27,31,Souris 4,Souris,FALSE,Cx. tarsalis,35,11.33,27.8,75,30.2,10.8,11
2021-08-03,32,Souris 4,Souris,FALSE,Cx. tarsalis,25,10.58,8.5,72,30.4,11.6,10
2021-08-04,32,Souris 4,Souris,FALSE,Cx. tarsalis,41,10.02,6.4,70,29.6,17.8,18.4
2021-08-09,33,Souris 4,Souris,FALSE,Cx. tarsalis,15,9.54,0.3,67,18.5,14.9,13.1
2021-08-10,33,Souris 4,Souris,FALSE,Cx. tarsalis,0,9.69,51.6,69,24.6,11.8,19.3
2021-08-16,34,Souris 4,Souris,FALSE,Cx. tarsalis,11,8.76,51.3,69,33.5,15,12.4
2021-08-17,34,Souris 4,Souris,FALSE,Cx. tarsalis,5,8.82,51.3,68,25.6,15.1,19.1
2021-08-23,35,Souris 4,Souris,FALSE,Cx. tarsalis,1,8.5,140.5,75,19.1,11,19.8
2021-08-24,35,Souris 4,Souris,FALSE,Cx. tarsalis,0,8.11,89.2,74,16,7.1,16.5
2021-08-30,36,Souris 4,Souris,FALSE,Cx. tarsalis,1,5.83,110.6,82,24.7,5.1,10.4
2021-08-31,36,Souris 4,Souris,FALSE,Cx. tarsalis,1,5.59,110.6,83,26.4,10.4,17.8
2021-05-31,23,Virden 3,Virden,FALSE,Cx. tarsalis,1,3.58,24.8,59,25.8,2,8.3
2021-06-01,23,Virden 3,Virden,FALSE,Cx. tarsalis,0,3.67,24.8,59,29.1,8.2,12.3
2021-06-07,24,Virden 3,Virden,FALSE,Cx. tarsalis,0,5.06,3,46,26.8,6.9,12.5
2021-06-08,24,Virden 3,Virden,FALSE,Cx. tarsalis,0,6.12,0.9,45,NA,NA,16.9
2021-06-14,25,Virden 3,Virden,FALSE,Cx. tarsalis,0,7.77,36.1,52,28.9,8.8,8.8
2021-06-15,25,Virden 3,Virden,FALSE,Cx. tarsalis,0,7.98,36.1,53,30.2,10.3,15.3
2021-06-21,26,Virden 3,Virden,FALSE,Cx. tarsalis,0,7.94,37.5,60,19.8,2.3,13.7
2021-06-22,26,Virden 3,Virden,FALSE,Cx. tarsalis,0,7.34,37,60,28.5,8.8,11.6
2021-06-29,27,Virden 3,Virden,TRUE,Cx. tarsalis,0,7.96,26.3,60,27.3,12.8,6.7
2021-07-05,28,Virden 3,Virden,TRUE,Cx. tarsalis,0,8.97,24.5,63,27.4,13,11.3
2021-07-06,28,Virden 3,Virden,FALSE,Cx. tarsalis,0,9.66,27,65,17.3,7.8,16
2021-07-12,29,Virden 3,Virden,FALSE,Cx. tarsalis,0,10.36,2.8,65,29,13.9,17.6
2021-07-13,29,Virden 3,Virden,TRUE,Cx. tarsalis,0,10.66,3.8,65,28.8,11.1,6.2
2021-07-19,30,Virden 3,Virden,FALSE,Cx. tarsalis,1,11.01,31.8,66,24.1,18.6,20
2021-07-20,30,Virden 3,Virden,FALSE,Cx. tarsalis,1,10.84,30,67,26.4,17.7,16.7
2021-07-26,31,Virden 3,Virden,FALSE,Cx. tarsalis,5,13.15,32.7,68,29.5,12.5,13.7
2021-07-27,31,Virden 3,Virden,FALSE,Cx. tarsalis,0,12.86,31.7,68,32,10.9,11.9
2021-08-03,32,Virden 3,Virden,FALSE,Cx. tarsalis,23,12.04,3,65,32.8,14.4,7.3
2021-08-04,32,Virden 3,Virden,FALSE,Cx. tarsalis,22,11.58,1.7,62,31.2,17.4,15.5
2021-08-09,33,Virden 3,Virden,FALSE,Cx. tarsalis,14,11.14,0,60,19.7,13.3,12
2021-08-10,33,Virden 3,Virden,FALSE,Cx. tarsalis,8,11.41,27.6,61,25.7,10.6,14.5
2021-08-16,34,Virden 3,Virden,FALSE,Cx. tarsalis,12,10.44,27.6,60,36.8,14,10.3
2021-08-17,34,Virden 3,Virden,FALSE,Cx. tarsalis,10,10.59,27.6,60,27.3,14.8,18.1
2021-08-23,35,Virden 3,Virden,FALSE,Cx. tarsalis,0,9.76,121.2,68,20.6,12.6,17.7
2021-08-24,35,Virden 3,Virden,FALSE,Cx. tarsalis,0,9.16,93.6,68,19.1,10.6,15.4
2021-08-30,36,Virden 3,Virden,FALSE,Cx. tarsalis,0,7.27,97.7,78,28.1,7.2,10.5
2021-08-31,36,Virden 3,Virden,FALSE,Cx. tarsalis,1,7.02,97.7,78,27.9,10.7,15.5
2020-06-24,26,Altona,Altona,FALSE,Cx. tarsalis,NA,7.54,19.6,64,26.6,8.7,5.5
2020-07-01,27,Altona,Altona,FALSE,Cx. tarsalis,NA,10.06,62.7,67,27.7,17.9,18.6
2020-07-08,28,Altona,Altona,FALSE,Cx. tarsalis,NA,12.99,52.7,67,27.4,17.2,14.2
2020-07-01,27,Altona 2,Altona,FALSE,Cx. tarsalis,NA,10.06,62.7,67,27.7,17.9,18.6
2020-07-22,30,Altona 2,Altona,FALSE,Cx. tarsalis,NA,9.81,76.5,69,24.3,10.1,14.3
2020-07-29,31,Altona 2,Altona,FALSE,Cx. tarsalis,NA,10.22,9.7,70,26.9,9.5,4.5
2020-08-05,32,Altona 2,Altona,FALSE,Cx. tarsalis,NA,9.8,6.5,69,27.4,11.8,10.9
2020-07-15,29,Altona 4,Altona,FALSE,Cx. tarsalis,NA,11.86,78.5,69,26,14.3,19.1
2020-07-22,30,Altona 4,Altona,FALSE,Cx. tarsalis,NA,9.81,76.5,69,24.3,10.1,14.3
2020-07-23,30,Altona 4,Altona,FALSE,Cx. tarsalis,NA,9.44,67.9,70,26.1,14.8,22.3
2020-07-24,30,Altona 4,Altona,FALSE,Cx. tarsalis,NA,9.44,67.9,71,32.7,20.6,16.8
2020-07-29,31,Altona 4,Altona,TRUE,Cx. tarsalis,NA,10.22,9.7,70,26.9,9.5,4.5
2020-08-05,32,Altona 4,Altona,FALSE,Cx. tarsalis,NA,9.8,6.5,69,27.4,11.8,10.9
2020-06-01,23,Boissevain 2,Boissevain,FALSE,Cx. tarsalis,0,5.91,0.5,57,29,16.5,18
2020-06-02,23,Boissevain 2,Boissevain,FALSE,Cx. tarsalis,0,6.29,0.5,57,27.8,10.4,16
